name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"New York City,USA",2024-08-01T00:00:00,24.9,24.9,21.4,80.99,0,0,,0,0,16.6,1.7,306,1013.1,82.6,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T01:00:00,25,25,20.6,76.63,0,0,,0,0,16.6,2.1,329,1013.2,19.2,16,0,0,0,10,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T02:00:00,24.9,24.9,20.5,76.78,0,0,,0,0,16.6,4.2,297,1013.1,14.1,16,0,0,0,30,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T03:00:00,25,25,20.3,75.13,0,0,,0,0,14.8,3.3,293,1013.3,14.1,16,0,0,0,8,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T04:00:00,25,25,20.2,74.45,0,0,,0,0,14.8,0,0,1013.1,10.5,16,0,0,0,8,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T05:00:00,24.8,24.8,20.1,75.1,0,0,,0,0,7.6,6.3,287,1012.8,10.5,16,0,0,0,8,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T06:00:00,24.5,24.5,20.1,76.58,0,0,,0,0,7.6,1.2,326,1013.3,10.5,16,13,0,0,8,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T07:00:00,25.3,25.3,20.7,76.05,0,0,,0,0,9.4,0.9,328,1013.7,10.5,16,53,0.2,1,8,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T08:00:00,26.9,28.5,20.6,68.4,0,0,,0,0,9.4,7.6,290,1014.6,10.5,16,129,0.5,1,30,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T09:00:00,27.6,29.6,20.8,66.52,0,0,,0,0,9.4,4,331,1015.1,10.5,16,471,1.7,5,30,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T10:00:00,29.7,31.4,19.7,55.08,0,0,,0,0,11.2,2.9,345,1014.8,10.5,16,642,2.3,6,30,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T11:00:00,30.8,32,18.7,48.43,0,0,,0,0,11.2,3.9,352,1014.7,10.5,16,765,2.8,8,30,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T12:00:00,32.2,33.4,18.5,44.05,0,0,,0,0,27.7,4.9,330,1014.5,10.5,16,853,3.1,9,30,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T13:00:00,33.7,34.8,18,39.4,0,0,,0,0,31,17.6,258,1014,14.1,16,722,2.6,7,30,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T14:00:00,34.4,35.8,18.4,38.83,0,0,,0,0,25.9,20.5,256,1013.4,50,16,453,1.6,5,30,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T15:00:00,34.6,36.1,18.4,38.49,0,0,,0,0,29.2,13.5,275,1013,82.6,16,404,1.5,4,30,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T16:00:00,34.1,36,19.2,41.58,0,0,,0,0,27.7,11.3,199,1012.4,44.6,16,641,2.3,6,30,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T17:00:00,32.9,35.2,19.9,46.45,0,0,,0,0,37.1,12.7,168,1012.1,27.9,16,464,1.7,5,30,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T18:00:00,32.2,33.8,19.3,46.53,0,0,,0,0,35.3,17.4,202,1011.8,19.2,16,243,0.9,2,30,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T19:00:00,31.6,34.1,20.5,52.06,0,0,,0,0,29.5,5.1,4,1011.7,19.2,16,84,0.3,1,30,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T20:00:00,30.9,33.1,20.2,52.79,0,0,,0,0,16.6,4.4,272,1011.9,25.4,16,0,0,0,30,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T21:00:00,30.4,32.2,19.6,52.44,0,0,,0,0,16.6,3.5,93,1012.1,19.2,16,0,0,0,30,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T22:00:00,29.6,31.7,20.4,57.83,0,0,,0,0,13,5.3,279,1012.8,19.2,16,0,0,0,30,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-01T23:00:00,29.6,31.9,20.7,58.75,0,0,,0,0,9.4,6.8,223,1013.3,73.9,16,0,0,0,30,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-02T00:00:00,29.6,31.7,20.5,58.23,0,0,,0,0,11.2,4.8,278,1013.3,35.9,16,0,0,0,30,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-02T01:00:00,29,31.1,20.7,60.94,0,0,,0,0,11.2,9.5,216,1013.3,19.2,16,0,0,0,30,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-02T02:00:00,28.6,30.7,20.7,62.56,0,0,,0,0,13,4,280,1012.9,19.2,16,0,0,0,30,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-02T03:00:00,28.4,30.5,20.8,63.57,0,0,,0,0,11.2,1.8,321,1012.6,35.9,16,0,0,0,30,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-02T04:00:00,28,29.9,20.7,64.56,0,0,,0,0,11.2,7.4,219,1012.3,15.6,16,0,0,0,30,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-08-02T05:00:00,27.8,29.8,20.8,65.88,0,0,,0,0,7.6,1.2,303,1012.2,15.6,16,0,0,0,30,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
