name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"New York City,USA",2024-07-01T00:00:00,22.5,22.5,15.1,62.83,0,0,,0,0,38,28.8,324,1012.7,88.9,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-07-01T01:00:00,21.4,21.4,12.7,57.78,0,0,,0,0,40.7,11.9,324,1012.8,80.1,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
"New York City,USA",2024-07-01T02:00:00,20.6,20.6,10.9,53.7,0,0,,0,0,38.9,12.7,328,1012.8,37,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
"New York City,USA",2024-07-01T03:00:00,19,19,11.2,60.55,0,0,,0,0,48.4,14.5,328,1013.4,15.6,16,0,0,0,10,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
"New York City,USA",2024-07-01T04:00:00,18.5,18.5,11.3,62.81,0,0,,0,0,40.7,10.4,320,1014.1,6.1,16,0,0,0,10,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
"New York City,USA",2024-07-01T05:00:00,18.1,18.1,11.7,65.97,0,0,,0,0,31.3,8.4,347,1014.6,10.5,16,0,0,0,10,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
"New York City,USA",2024-07-01T06:00:00,18,18,11.8,66.85,0,0,,0,0,31.3,13.3,310,1014.7,10.5,16,28,0.1,0,10,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
"New York City,USA",2024-07-01T07:00:00,18.6,18.6,12,65.39,0,0,,0,0,29.5,18.1,313,1014.8,10.5,16,196,0.7,2,10,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
"New York City,USA",2024-07-01T08:00:00,19.8,19.8,12.8,64.04,0,0,,0,0,33.5,23.1,334,1015.3,70.3,16,405,1.5,4,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
"New York City,USA",2024-07-01T09:00:00,21.3,21.3,13.2,60,0,0,,0,0,45.8,15.1,334,1015.7,50,16,601,2.2,6,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
"New York City,USA",2024-07-01T10:00:00,22.4,22.4,13,55.47,0,0,,0,0,41.1,18.1,355,1015.8,15.6,16,806,2.9,8,10,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
"New York City,USA",2024-07-01T11:00:00,22.6,22.6,13.1,55.23,0,0,,0,0,46.2,15.6,348,1016.9,65,16,1006,3.6,10,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
"New York City,USA",2024-07-01T12:00:00,23.7,23.7,13.7,53.3,0,0,,0,0,47.1,28.3,2,1017,87,16,235,0.8,2,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
"New York City,USA",2024-07-01T13:00:00,25.2,25.2,12.9,46.51,0,0,,0,0,40.9,16.6,2,1017.1,50,16,1026,3.7,10,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
"New York City,USA",2024-07-01T14:00:00,26.2,26.2,12.9,43.73,0,0,,0,0,50.1,23.1,31,1016.7,19.2,16,998,3.6,10,10,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
"New York City,USA",2024-07-01T15:00:00,26.7,26.8,13.2,43.34,0,0,,0,0,47.8,24.3,1,1016.8,19.2,16,873,3.1,9,10,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
"New York City,USA",2024-07-01T16:00:00,26.4,26.4,12.3,41.62,0,0,,0,0,41.7,17.1,12,1016.9,19.2,16,708,2.5,7,10,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
"New York City,USA",2024-07-01T17:00:00,26.2,26.2,12.2,41.71,0,0,,0,0,31.9,16.7,352,1017.1,14.1,16,502,1.8,5,10,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
"New York City,USA",2024-07-01T18:00:00,26.4,26.4,11.7,39.92,0,0,,0,0,37.8,15.3,26,1017.4,10.5,16,288,1,3,10,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
